區域,鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月,交易年,交易月,交易日,交易西曆,交易屋齡(years),交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建築完成年,建築完成月,建築完成日,建築完成西曆,today,屋齡,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,每平方公尺單價,車位類別,車位,車位移轉總面積平方公尺,車位總價元
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段93巷1~50號,36.57,商,9912,2010,12,1,2010/12/1,-2.08,土地1建物1車位2,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020111,2013,1,11,2013/1/11,2015/9/18,2.65,373.94,3,2,2,有,有,69590000,235566,坡道平面,有,98.9,4800000
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段93巷1~50號,36.02,商,9912,2010,12,1,2010/12/1,-2.08,土地1建物1車位2,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020111,2013,1,11,2013/1/11,2015/9/18,2.65,369.94,3,2,2,有,有,70670000,243396,坡道平面,有,98.9,4700000
台北市,士林區,房地(土地+建物)+車位,臺北市士林區文林路451~500號,22.91,商,9912,2010,12,1,2010/12/1,-2.21,土地1建物1車位2,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020227,2013,2,27,2013/2/27,2015/9/18,2.52,164.73,4,4,2,有,無,34200000,191870,升降機械,有,2.12,3000000
台北市,文山區,房地(土地+建物)+車位,臺北市文山區興隆路二段203巷51~100號,33.23,住,10001,2011,1,1,2011/1/1,-1.98,土地2建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020103,2013,1,3,2013/1/3,2015/9/18,2.67,174.65,3,2,2,有,有,18350000,105067,坡道平面,有,42.65,0
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段93巷1~50號,24.02,商,10001,2011,1,1,2011/1/1,-2,土地1建物1車位2,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020111,2013,1,11,2013/1/11,2015/9/18,2.65,279.21,1,2,2,有,有,44760000,226055,坡道平面,有,98.9,4000000
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段93巷1~50號,36.56,商,10001,2011,1,1,2011/1/1,-2,土地1建物1車位2,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020111,2013,1,11,2013/1/11,2015/9/18,2.65,373.88,3,2,2,有,有,65430000,224089,坡道平面,有,98.9,3810000
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段93巷1~50號,41.7,商,10001,2011,1,1,2011/1/1,-2,土地1建物1車位3,十層，十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020111,2013,1,11,2013/1/11,2015/9/18,2.65,454.34,4,2,3,有,有,89970000,269519,坡道平面,有,148.35,7500000
台北市,中山區,房地(土地+建物),臺北市中山區中山北路二段101~150號,39.98,商,10003,2011,3,1,2011/3/1,-1.81,土地1建物1車位0,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,2013,1,2,2013/1/2,2015/9/18,2.67,408.14,0,0,3,有,有,125110000,306537,,無,0,0
台北市,中正區,房地(土地+建物)+車位,臺北市中正區重慶南路三段51~100號,20.04,住,10004,2011,4,1,2011/4/1,-1.9,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020304,2013,3,4,2013/3/4,2015/9/18,2.5,146.03,0,1,1,無,無,25500000,218999,坡道平面,有,39.18,2100000
台北市,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段101~150號,34.08,商,10010,2011,10,1,2011/10/1,-1.24,土地1建物1車位7,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,2013,1,2,2013/1/2,2015/9/18,2.67,537.15,0,0,5,有,有,120580000,307752,坡道平面,有,176.47,9580000
台北市,文山區,房地(土地+建物)+車位,臺北市文山區辛亥路六段21巷1~50號,63.45,住,10104,2012,4,1,2012/4/1,12.47,土地8建物1車位1,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880809,1999,8,9,1999/8/9,2015/9/18,15.89,178.48,3,2,2,有,有,20550000,115139,坡道平面,有,36.09,0
台北市,北投區,房地(土地+建物)+車位,臺北市北投區公?路401~450號,40.25,住,10106,2012,6,1,2012/6/1,19.04,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820211,1993,2,11,1993/2/11,2015/9/18,22.29,228.85,4,2,2,有,有,30580000,133625,坡道平面,有,37.76,0
台北市,中山區,房地(土地+建物),臺北市中山區中山北路二段101~150號,39.98,商,10109,2012,9,1,2012/9/1,-0.33,土地1建物1車位0,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,2013,1,2,2013/1/2,2015/9/18,2.67,408.14,0,0,5,有,有,167920000,411427,,無,0,0
台北市,文山區,房地(土地+建物)+車位,臺北市文山區政大一街320巷51~100號,17.32,商,10111,2012,11,1,2012/11/1,1.48,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000429,2011,4,29,2011/4/29,2015/9/18,4.33,126.54,0,0,0,無,有,14900000,143643,坡道平面,有,37.43,2100000
台北市,中山區,房地(土地+建物),臺北市中山區復興北路501~550號,45.23,住,10112,2012,12,1,2012/12/1,28.38,土地3建物1車位0,五層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,730222,1984,2,22,1984/2/22,2015/9/18,31.14,285.49,2,1,0,有,有,43180000,151249,,無,0,0
台北市,中山區,房地(土地+建物),臺北市中山區新生北路三段56巷1~50號,14.32,住,10112,2012,12,1,2012/12/1,18.15,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830708,1994,7,8,1994/7/8,2015/9/18,20.9,77.86,2,2,1,有,有,9000000,115592,,無,0,0
台北市,松山區,房地(土地+建物),臺北市松山區民生東路五段138巷1~50號,18.55,住,10112,2012,12,1,2012/12/1,,土地1建物1車位0,七層，陽台,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,,,,,,,126.54,3,2,2,有,有,8600000,67963,,無,0,0
台北市,萬華區,房地(土地+建物),臺北市萬華區寶興街140巷1~50號,29,住,10112,2012,12,1,2012/12/1,,土地1建物1車位0,一層，騎樓,3,公寓(5樓含以下無電梯),工業用,加強磚造,,,,,,,,74.24,1,1,1,有,無,3473400,46786,,無,0,0
台北市,萬華區,房地(土地+建物),臺北市萬華區西園路二段261巷46弄1~50號,62.33,住,10112,2012,12,1,2012/12/1,,土地1建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,加強磚造,,,,,,,,71.61,4,0,0,有,無,7377110,103018,,無,0,0
台北市,松山區,房地(土地+建物),臺北市松山區民生東路五段151~200號,4.49,商,10200,2013,0,1,2012/12/1,29.43,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,720129,1983,1,29,1983/1/29,2015/9/18,32.19,51.52,0,0,0,無,有,11500000,223214,,無,0,0
台北市,信義區,房地(土地+建物),臺北市信義區永吉路30巷51~100號,25.25,住,10201,2013,1,1,2013/1/1,39.8,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,610825,1972,8,25,1972/8/25,2015/9/18,42.47,79.58,5,3,2,有,無,18200000,228701,,無,0,0
